model_name,accuracy,precision,recall,f1_score,roc_auc
gradient_boosting,0.8469808278086365,0.8566784869976359,0.8870869033047736,0.8716175586289837,0.9194842122196876
logistic_regression,0.8448306755061817,0.8578665077473182,0.8809669522643819,0.8692632850241546,0.9186600826259539
svm_rbf,0.8407095502598101,0.8493392070484581,0.8849449204406364,0.8667765622658474,0.9015484296359092
random_forest,0.8396344741085827,0.8513473497186852,0.8797429620563035,0.8653122648607976,0.9150349443118853
